Item Links,Error Status
https://www.lancashirecare.nhs.uk/blog/Criminal+Justice+Liaison+and+Diversion+Service%26%23039%3Bs++Wellbeing+Programme+Success%21," HTTPSConnectionPool(host='www.lancashirecare.nhs.uk', port=443): Max retries exceeded with url: /blog/Criminal+Justice+Liaison+and+Diversion+Service%26%23039%3Bs++Wellbeing+Programme+Success%21 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))"
http://www.parliament.uk/business/committees/committees-a-z/commons-select/justice-committee/news-parliament-20151/young-offenders-treatment-evidence-15-16/, 403 Client Error: Forbidden for url: http://www.parliament.uk/business/committees/committees-a-z/commons-select/justice-committee/news-parliament-20151/young-offenders-treatment-evidence-15-16/
http://www.lanner.com/en/industries/industry.cfm?theIndustryID=C52EDA1B-15C5-F4C0-99A192DAC74E1DF7, 404 Client Error: Not Found for url: http://www.lanner.com/en/industries/industry.cfm?theIndustryID=C52EDA1B-15C5-F4C0-99A192DAC74E1DF7
http://www.parliament.uk/business/committees/committees-a-z/commons-select/justice-committee/news-parliament-20151/young-adults-criminal-justice-system-report-launch-16-17/, 403 Client Error: Forbidden for url: http://www.parliament.uk/business/committees/committees-a-z/commons-select/justice-committee/news-parliament-20151/young-adults-criminal-justice-system-report-launch-16-17/
https://onlinelibrary.wiley.com/doi/abs/10.1002/cbm.2128?af=R, 503 Server Error: Service Temporarily Unavailable for url: https://onlinelibrary.wiley.com/doi/abs/10.1002/cbm.2128?af=R
https://onlinelibrary.wiley.com/doi/abs/10.1111/add.14620?af=R, 503 Server Error: Service Temporarily Unavailable for url: https://onlinelibrary.wiley.com/doi/abs/10.1111/add.14620?af=R
https://onlinelibrary.wiley.com/doi/abs/10.1002/cbm.2108?af=R, 503 Server Error: Service Temporarily Unavailable for url: https://onlinelibrary.wiley.com/doi/abs/10.1002/cbm.2108?af=R
https://onlinelibrary.wiley.com/doi/abs/10.1002/cbm.2112?af=R, 503 Server Error: Service Temporarily Unavailable for url: https://onlinelibrary.wiley.com/doi/abs/10.1002/cbm.2112?af=R
http://www.parliament.uk/business/committees/committees-a-z/commons-select/justice-committee/news-parliament-20151/young-adult-offenders-evidence-15-161/, 403 Client Error: Forbidden for url: http://www.parliament.uk/business/committees/committees-a-z/commons-select/justice-committee/news-parliament-20151/young-adult-offenders-evidence-15-161/
https://www.parliament.uk/business/committees/committees-a-z/commons-select/digital-culture-media-and-sport-committee/news/social-impact-report-published-17-19/, 403 Client Error: Forbidden for url: https://www.parliament.uk/business/committees/committees-a-z/commons-select/digital-culture-media-and-sport-committee/news/social-impact-report-published-17-19/
http://researchbriefings.parliament.uk/ResearchBriefing/Summary/CBP-8083, 403 Client Error: Forbidden for url: http://researchbriefings.parliament.uk/ResearchBriefing/Summary/CBP-8083
https://onlinelibrary.wiley.com/doi/abs/10.1002/cbm.2111?af=R, 503 Server Error: Service Temporarily Unavailable for url: https://onlinelibrary.wiley.com/doi/abs/10.1002/cbm.2111?af=R
https://onlinelibrary.wiley.com/doi/abs/10.1002/cbm.2124?af=R, 503 Server Error: Service Temporarily Unavailable for url: https://onlinelibrary.wiley.com/doi/abs/10.1002/cbm.2124?af=R
http://bjsw.oxfordjournals.org/content/46/4/1131.short?rss=1, 403 Client Error: Forbidden for url: http://bjsw.oxfordjournals.org/content/46/4/1131.short?rss=1
http://bjsw.oxfordjournals.org/content/46/5/1336.short?rss=1, 403 Client Error: Forbidden for url: http://bjsw.oxfordjournals.org/content/46/5/1336.short?rss=1
http://www.petermoskos.com/, 406 Client Error: Not Acceptable for url: http://www.petermoskos.com/
http://journals.theides.org/, 403 Client Error: Forbidden for url: http://journals.theides.org/
http://www.sciencedirect.com/science/article/B6V76-45DN09T-84/1/95e673f311d3538ff6749a1ee07b9d50, 403 Client Error: Forbidden for url: http://www.sciencedirect.com/science/article/B6V76-45DN09T-84/1/95e673f311d3538ff6749a1ee07b9d50
http://www.sciencedirect.com/science/article/B6V75-47DV3DR-4/2/03567e7b60a78f71320eb48994be520b, 403 Client Error: Forbidden for url: http://www.sciencedirect.com/science/article/B6V75-47DV3DR-4/2/03567e7b60a78f71320eb48994be520b
http://www.sciencedirect.com/science/article/B6V75-3VWPM1N-6/2/fac65bc10ace53e4c1105e2c95d2ba8f, 403 Client Error: Forbidden for url: http://www.sciencedirect.com/science/article/B6V75-3VWPM1N-6/2/fac65bc10ace53e4c1105e2c95d2ba8f
http://www.hrmi.lt/uploaded/Documents/Report{\_}Right{\_}to{\_}Interpretation{\_}Justicia.pdf, 403 Client Error: Forbidden for url: http://www.hrmi.lt/uploaded/Documents/Report%7B%5C_%7DRight%7B%5C_%7Dto%7B%5C_%7DInterpretation%7B%5C_%7DJusticia.pdf
